날짜,호선,역명,구분,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시
2024-01-01,2호선,잠실(송파구청),승차,551,469,743,901,1147,1660,1983,2344,2984,3322,3916,4345,4330,3591,3671,3595,2399,515
2024-01-01,2호선,잠실(송파구청),하차,754,732,1199,1714,2051,2876,3071,3600,3378,3461,3473,3157,2710,1932,1568,1453,1260,616
2024-01-01,8호선,잠실(송파구청),승차,151,91,109,150,198,320,407,531,762,965,1030,1119,1163,940,916,857,508,173
2024-01-01,8호선,잠실(송파구청),하차,116,198,418,531,706,839,1051,1242,1101,1057,982,854,604,399,256,161,118,83
2024-01-02,2호선,잠실(송파구청),승차,2168,4990,7253,4801,2536,2305,2527,2790,3068,3502,4094,5859,8756,5668,5219,4038,2150,827
2024-01-02,2호선,잠실(송파구청),하차,1318,3404,7300,6165,3717,3335,3206,2900,3042,3662,3775,5802,9177,6048,3496,2691,2551,1106
2024-01-02,8호선,잠실(송파구청),승차,198,383,527,409,318,440,474,606,730,1057,1297,1691,3031,1487,1304,1134,695,286
2024-01-02,8호선,잠실(송파구청),하차,420,1446,3749,1841,1031,1017,857,897,883,873,853,1197,1416,763,406,290,196,108
2024-01-03,2호선,잠실(송파구청),승차,2229,5275,7247,4793,2826,2645,2836,3053,3210,3877,4200,6346,8900,5807,5453,4918,2967,897
2024-01-03,2호선,잠실(송파구청),하차,1216,3463,7563,6646,3902,3530,3385,3644,3486,3606,3902,6408,9626,6277,3723,3001,2921,1315
2024-01-03,8호선,잠실(송파구청),승차,170,388,525,374,341,467,533,650,828,1098,1201,1851,2920,1515,1352,1489,810,226
2024-01-03,8호선,잠실(송파구청),하차,411,1431,3787,1943,1171,1048,935,948,923,896,860,1253,1764,802,429,362,202,120
2024-01-04,2호선,잠실(송파구청),승차,2124,5242,7477,5007,3005,2598,3032,3170,3321,4019,4545,6301,9019,5659,5326,4835,3342,1025
2024-01-04,2호선,잠실(송파구청),하차,1222,3387,7657,6172,4112,3759,3540,3471,3496,3892,4621,6233,8936,6461,3882,3200,3061,1584
2024-01-04,8호선,잠실(송파구청),승차,171,407,542,398,314,439,573,680,811,1122,1238,1792,2863,1526,1398,1458,869,325
2024-01-04,8호선,잠실(송파구청),하차,390,1448,3714,1881,1087,1082,994,957,970,933,942,1284,1722,784,443,321,252,109
2024-01-05,2호선,잠실(송파구청),승차,1991,5135,7163,4750,2726,2840,3025,3410,3719,4141,5323,6972,8974,5560,4987,5479,4249,1493
2024-01-05,2호선,잠실(송파구청),하차,1160,3164,6951,5237,3632,3951,3560,3674,3827,4356,4922,7355,10439,6871,3462,3381,3050,2002
2024-01-05,8호선,잠실(송파구청),승차,171,399,519,372,402,516,548,652,966,1223,1454,2002,2866,1535,1306,1535,1072,509
2024-01-05,8호선,잠실(송파구청),하차,395,1357,3552,1762,1150,1187,1125,1094,975,1036,1107,1650,2356,1085,469,372,272,182
2024-01-06,2호선,잠실(송파구청),승차,746,982,1885,2312,2574,3269,3685,4307,4890,5268,6357,6487,6228,5702,6328,5992,4346,1144
2024-01-06,2호선,잠실(송파구청),하차,963,1229,2238,3628,4105,5199,5312,5726,5519,5873,6404,5921,4713,3449,2759,2731,2649,1630
2024-01-06,8호선,잠실(송파구청),승차,98,118,204,263,282,485,619,777,993,1281,1572,1682,1656,1477,1695,1569,1156,409
2024-01-06,8호선,잠실(송파구청),하차,280,358,635,898,1303,1701,1634,1715,1794,1720,1838,1597,1094,685,434,332,258,141
2024-01-07,2호선,잠실(송파구청),승차,498,586,1116,1676,1852,2351,2740,3205,3755,4364,4808,4890,4899,4272,5406,4869,2304,645
2024-01-07,2호선,잠실(송파구청),하차,615,875,1761,3027,3179,4124,4048,4299,4165,4270,4284,4303,3661,2534,2237,1950,1506,878
2024-01-07,8호선,잠실(송파구청),승차,70,84,129,210,199,342,492,679,971,1224,1323,1381,1421,1167,1246,1246,644,210
2024-01-07,8호선,잠실(송파구청),하차,145,278,517,712,1033,1396,1379,1485,1356,1260,1187,1104,841,462,280,206,120,75
2024-01-08,2호선,잠실(송파구청),승차,1852,5025,7315,5216,2806,2551,2571,2943,2994,3736,4801,5885,8449,5355,5177,3859,2213,757
