일자,요일,지점명,지점번호,방향,구분,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,요일(2)
20230101,일,서강대교,C-06,유입,서강대교남단->서강대교북단,281.0,350.0,151.0,96.0,81.0,104.0,164.0,255.0,534.0,526.0,759.0,660.0,816.0,785.0,879.0,796.0,798.0,760.0,539.0,451.0,445.0,413.0,257.0,168.0,
20230101,일,서강대교,C-06,유출,서강대교북단->서강대교남단,551.0,380.0,194.0,144.0,134.0,223.0,372.0,564.0,607.0,560.0,872.0,710.0,1031.0,933.0,954.0,1084.0,903.0,757.0,619.0,534.0,534.0,538.0,360.0,222.0,
20230101,일,마포대교,C-07,유입,마포대교남단->마포대교북단,980.0,1137.0,590.0,446.0,387.0,487.0,848.0,962.0,1618.0,1577.0,2332.0,2255.0,2403.0,2403.0,2617.0,2528.0,2407.0,2462.0,2234.0,1993.0,1844.0,1671.0,1172.0,761.0,
20230101,일,마포대교,C-07,유출,마포대교북단->마포대교남단,1004.0,960.0,406.0,302.0,242.0,333.0,608.0,926.0,1001.0,1200.0,1873.0,2043.0,2448.0,2622.0,2693.0,2857.0,2385.0,2439.0,2486.0,2049.0,2033.0,1725.0,1333.0,664.0,
20230101,일,원효대교,C-08,유입,원효대교남단->원효대교북단,407.0,335.0,267.0,187.0,167.0,239.0,302.0,401.0,782.0,792.0,1097.0,999.0,1051.0,1105.0,1281.0,1164.0,1009.0,964.0,823.0,758.0,791.0,754.0,459.0,320.0,
20230101,일,원효대교,C-08,유출,원효대교북단->원효대교남단,477.0,491.0,237.0,141.0,111.0,129.0,223.0,330.0,506.0,540.0,800.0,819.0,1046.0,1102.0,1179.0,1186.0,1127.0,1000.0,845.0,740.0,735.0,629.0,538.0,336.0,
20230101,일,한강대교,C-09,유입,한강대교남단->한강대교북단,1018.0,1085.0,669.0,506.0,463.0,595.0,927.0,1096.0,1453.0,1789.0,2299.0,2174.0,2211.0,2522.0,2312.0,2212.0,2155.0,2096.0,1868.0,1694.0,1668.0,1497.0,1207.0,855.0,
20230101,일,한강대교,C-09,유출,한강대교북단->한강대교남단,1648.0,1632.0,1005.0,641.0,504.0,572.0,726.0,977.0,1000.0,1247.0,1568.0,1903.0,1860.0,2160.0,2201.0,2346.0,2221.0,2210.0,2392.0,2455.0,2509.0,2187.0,1790.0,1200.0,
20230102,월,서강대교,C-06,유입,서강대교남단->서강대교북단,112.0,88.0,64.0,68.0,96.0,273.0,558.0,828.0,1155.0,1309.0,925.0,825.0,762.0,821.0,828.0,952.0,968.0,1371.0,1904.0,1176.0,678.0,571.0,431.0,273.0,
20230102,월,서강대교,C-06,유출,서강대교북단->서강대교남단,137.0,102.0,94.0,181.0,214.0,276.0,774.0,1823.0,2209.0,1351.0,1103.0,963.0,925.0,1077.0,1105.0,1197.0,1362.0,1285.0,1034.0,816.0,716.0,675.0,587.0,370.0,
20230102,월,마포대교,C-07,유입,마포대교남단->마포대교북단,427.0,295.0,171.0,202.0,441.0,1351.0,2937.0,3817.0,4034.0,3489.0,3173.0,2819.0,2527.0,2712.0,2983.0,2964.0,3151.0,3806.0,4472.0,3279.0,2551.0,2257.0,1782.0,1225.0,
20230102,월,마포대교,C-07,유출,마포대교북단->마포대교남단,396.0,255.0,171.0,210.0,413.0,809.0,2175.0,3884.0,3617.0,3059.0,2784.0,2465.0,2222.0,2559.0,2745.0,2878.0,3165.0,3260.0,3307.0,3083.0,2407.0,2275.0,1732.0,1039.0,
20230102,월,원효대교,C-08,유입,원효대교남단->원효대교북단,207.0,178.0,118.0,80.0,212.0,656.0,1142.0,1966.0,2430.0,2012.0,1635.0,1370.0,1204.0,1408.0,1361.0,1477.0,1547.0,1533.0,1654.0,1279.0,1020.0,847.0,756.0,592.0,
20230102,월,원효대교,C-08,유출,원효대교북단->원효대교남단,235.0,182.0,83.0,88.0,115.0,313.0,674.0,1508.0,1537.0,1119.0,1043.0,1008.0,1052.0,1154.0,1196.0,1329.0,1451.0,1420.0,1643.0,1275.0,851.0,737.0,575.0,437.0,
20230102,월,한강대교,C-09,유입,한강대교남단->한강대교북단,722.0,453.0,289.0,257.0,509.0,1184.0,2325.0,2917.0,2591.0,2680.0,2562.0,2212.0,1942.0,2062.0,2054.0,2058.0,2230.0,1829.0,1730.0,1464.0,1483.0,1442.0,1328.0,1102.0,
20230102,월,한강대교,C-09,유출,한강대교북단->한강대교남단,868.0,629.0,415.0,307.0,434.0,969.0,1634.0,1801.0,1910.0,1798.0,1785.0,1695.0,1756.0,1795.0,1984.0,2231.0,2589.0,3098.0,3585.0,2810.0,2273.0,2196.0,1890.0,1418.0,
20230103,화,서강대교,C-06,유입,서강대교남단->서강대교북단,179.0,147.0,98.0,81.0,108.0,254.0,551.0,773.0,1094.0,1202.0,1114.0,1061.0,1022.0,951.0,926.0,941.0,1085.0,1456.0,1872.0,1210.0,754.0,612.0,442.0,334.0,
20230103,화,서강대교,C-06,유출,서강대교북단->서강대교남단,261.0,168.0,123.0,230.0,243.0,279.0,650.0,1877.0,2148.0,1492.0,1149.0,1168.0,981.0,1122.0,1115.0,1328.0,1408.0,1468.0,1120.0,897.0,777.0,766.0,685.0,455.0,
20230103,화,마포대교,C-07,유입,마포대교남단->마포대교북단,899.0,572.0,346.0,307.0,433.0,1313.0,2692.0,3773.0,4021.0,3583.0,3432.0,3121.0,2945.0,3072.0,3124.0,3069.0,3320.0,3977.0,4330.0,3307.0,2622.0,2489.0,1943.0,1410.0,
20230103,화,마포대교,C-07,유출,마포대교북단->마포대교남단,744.0,432.0,269.0,335.0,455.0,807.0,1903.0,3788.0,3618.0,2721.0,2990.0,2726.0,2591.0,2873.0,2917.0,2932.0,3026.0,3468.0,3526.0,3105.0,2915.0,2416.0,1872.0,1218.0,
20230103,화,원효대교,C-08,유입,원효대교남단->원효대교북단,462.0,289.0,196.0,156.0,204.0,575.0,1104.0,1899.0,2324.0,2021.0,1794.0,1655.0,1394.0,1486.0,1529.0,1539.0,1572.0,1599.0,1733.0,1240.0,989.0,1001.0,844.0,674.0,
20230103,화,원효대교,C-08,유출,원효대교북단->원효대교남단,334.0,208.0,164.0,142.0,162.0,305.0,613.0,1327.0,1555.0,1219.0,1145.0,1083.0,1096.0,1156.0,1305.0,1351.0,1545.0,1602.0,1735.0,1329.0,1091.0,880.0,646.0,500.0,
20230103,화,한강대교,C-09,유입,한강대교남단->한강대교북단,808.0,519.0,382.0,334.0,478.0,1155.0,2161.0,2940.0,2659.0,2631.0,2579.0,2398.0,2142.0,2256.0,2221.0,2118.0,2105.0,2047.0,1810.0,1566.0,1516.0,1509.0,1473.0,1196.0,
20230103,화,한강대교,C-09,유출,한강대교북단->한강대교남단,962.0,671.0,502.0,361.0,454.0,871.0,1577.0,1874.0,1893.0,1972.0,1947.0,1815.0,1752.0,1905.0,2087.0,2202.0,2678.0,3255.0,3883.0,3334.0,2816.0,2351.0,2094.0,1478.0,
20230104,수,서강대교,C-06,유입,서강대교남단->서강대교북단,242.0,157.0,108.0,105.0,110.0,225.0,542.0,787.0,1108.0,1227.0,1102.0,931.0,911.0,970.0,971.0,923.0,998.0,1347.0,1757.0,1113.0,698.0,652.0,517.0,344.0,
20230104,수,서강대교,C-06,유출,서강대교북단->서강대교남단,290.0,200.0,162.0,255.0,253.0,278.0,643.0,1826.0,2103.0,1415.0,1255.0,1112.0,1100.0,1286.0,1199.0,1343.0,1463.0,1516.0,1235.0,846.0,779.0,777.0,695.0,448.0,
20230104,수,마포대교,C-07,유입,마포대교남단->마포대교북단,1048.0,642.0,474.0,342.0,440.0,1274.0,2641.0,3765.0,4008.0,3817.0,3665.0,3428.0,3153.0,3365.0,3467.0,3015.0,3199.0,3962.0,4295.0,3042.0,2733.0,2482.0,2126.0,1484.0,
