date,weather,temperature_c,weather_code,precipitation_sum,snowfall_sum
2025-01-01,cloudy,0.9,3,0.0,0.0
2025-01-02,cloudy,-1.2,3,0.0,0.0
2025-01-03,cloudy,-2.6,3,0.0,0.0
2025-01-04,cloudy,-1.9,3,0.0,0.0
2025-01-05,snow,0.7,75,7.2,4.48
2025-01-06,snow,-1.6,75,3.0,1.68
2025-01-07,cloudy,-4.8,2,0.0,0.0
2025-01-08,cloudy,-4.5,3,0.0,0.0
2025-01-09,clear,-10.5,0,0.0,0.0
2025-01-10,clear,-8.8,0,0.0,0.0
2025-01-11,cloudy,-6.7,3,0.0,0.0
2025-01-12,cloudy,-4.0,3,0.0,0.0
2025-01-13,snow,-1.4,73,0.6,0.35
2025-01-14,rainy,1.3,51,0.4,0.0
2025-01-15,clear,-4.3,1,0.0,0.0
2025-01-16,cloudy,-1.4,3,0.0,0.0
2025-01-17,clear,-2.6,1,0.0,0.0
2025-01-18,cloudy,-0.6,3,0.0,0.0
2025-01-19,cloudy,1.3,3,0.0,0.0
2025-01-20,cloudy,1.7,3,0.0,0.0
2025-01-21,cloudy,0.4,3,0.0,0.0
2025-01-22,cloudy,1.0,3,0.0,0.0
2025-01-23,clear,-0.6,0,0.0,0.0
2025-01-24,clear,0.6,0,0.0,0.0
2025-01-25,cloudy,2.7,3,0.0,0.0
2025-01-26,rainy,2.2,51,0.1,0.0
2025-01-27,snow,-0.7,73,7.2,4.62
2025-01-28,snow,-5.2,71,0.1,0.07
2025-01-29,cloudy,-6.6,3,0.0,0.0
2025-01-30,cloudy,-5.6,3,0.0,0.0
2025-01-31,snow,-2.0,73,2.9,1.96
2025-02-01,cloudy,-0.3,3,0.0,0.0
2025-02-02,cloudy,-0.0,3,0.0,0.0
2025-02-03,cloudy,-5.3,3,0.0,0.0
2025-02-04,cloudy,-10.1,2,0.0,0.0
2025-02-05,cloudy,-9.0,3,0.0,0.0
2025-02-06,snow,-6.4,73,1.5,1.05
2025-02-07,snow,-9.3,73,0.8,0.56
2025-02-08,cloudy,-8.8,2,0.0,0.0
2025-02-09,clear,-6.3,0,0.0,0.0
2025-02-10,snow,-4.3,71,0.1,0.07
2025-02-11,cloudy,-1.3,3,0.0,0.0
2025-02-12,snow,-0.1,73,2.5,1.61
2025-02-13,clear,-1.1,0,0.0,0.0
2025-02-14,cloudy,2.1,3,0.0,0.0
2025-02-15,cloudy,1.5,3,0.0,0.0
2025-02-16,cloudy,2.8,3,0.0,0.0
2025-02-17,cloudy,-1.6,2,0.0,0.0
2025-02-18,clear,-2.9,1,0.0,0.0
2025-02-19,clear,-3.7,0,0.0,0.0
2025-02-20,clear,-3.4,0,0.0,0.0
2025-02-21,clear,-3.1,1,0.0,0.0
2025-02-22,cloudy,-3.0,3,0.0,0.0
2025-02-23,cloudy,-3.8,2,0.0,0.0
2025-02-24,clear,-2.1,0,0.0,0.0
2025-02-25,cloudy,1.3,3,0.0,0.0
2025-02-26,clear,1.5,1,0.0,0.0
2025-02-27,cloudy,3.3,3,0.0,0.0
2025-02-28,cloudy,4.8,3,0.0,0.0
2025-03-01,rainy,4.4,61,2.3,0.0
2025-03-02,rainy,5.6,63,15.4,0.0
2025-03-03,snow,1.5,75,12.5,5.46
2025-03-04,snow,1.0,75,3.5,2.45
2025-03-05,cloudy,2.9,3,0.0,0.0
2025-03-06,cloudy,3.0,3,0.0,0.0
2025-03-07,cloudy,2.8,3,0.0,0.0
2025-03-08,cloudy,4.1,3,0.0,0.0
2025-03-09,cloudy,4.0,3,0.0,0.0
2025-03-10,cloudy,5.3,3,0.0,0.0
2025-03-11,cloudy,6.4,3,0.0,0.0
2025-03-12,rainy,6.8,51,0.1,0.0
2025-03-13,cloudy,7.0,3,0.0,0.0
2025-03-14,cloudy,9.7,3,0.0,0.0
2025-03-15,rainy,9.7,53,0.5,0.0
2025-03-16,rainy,4.3,51,0.9,0.0
2025-03-17,snow,0.7,71,0.3,0.21
2025-03-18,snow,0.6,73,3.0,1.96
2025-03-19,cloudy,-0.3,3,0.0,0.0
2025-03-20,clear,5.3,0,0.0,0.0
2025-03-21,clear,8.2,0,0.0,0.0
2025-03-22,clear,10.0,0,0.0,0.0
2025-03-23,cloudy,12.0,3,0.0,0.0
2025-03-24,rainy,12.2,53,0.7,0.0
2025-03-25,rainy,10.3,51,0.2,0.0
2025-03-26,cloudy,12.5,3,0.0,0.0
2025-03-27,rainy,12.5,63,6.6,0.0
2025-03-28,cloudy,5.7,3,0.0,0.0
2025-03-29,snow,1.9,75,2.1,1.26
2025-03-30,snow,1.7,71,0.6,0.35
2025-03-31,cloudy,5.0,3,0.0,0.0
2025-04-01,clear,7.6,0,0.0,0.0
2025-04-02,rainy,6.6,51,0.7,0.0
2025-04-03,cloudy,7.7,2,0.0,0.0
2025-04-04,cloudy,8.6,3,0.0,0.0
2025-04-05,rainy,7.2,63,13.9,0.0
2025-04-06,cloudy,8.2,3,0.0,0.0
2025-04-07,clear,10.8,1,0.0,0.0
2025-04-08,cloudy,11.6,2,0.0,0.0
2025-04-09,rainy,10.6,53,1.2,0.0
2025-04-10,cloudy,11.5,3,0.0,0.0
2025-04-11,cloudy,14.3,3,0.0,0.0
2025-04-12,snow,13.7,75,15.0,2.24
2025-04-13,snow,4.2,75,7.4,3.29
2025-04-14,snow,4.4,75,11.9,3.64
2025-04-15,cloudy,6.3,2,0.0,0.0
2025-04-16,rainy,11.9,63,4.5,0.0
2025-04-17,rainy,17.4,51,0.6,0.0
2025-04-18,cloudy,16.0,3,0.0,0.0
2025-04-19,rainy,13.8,65,27.6,0.0
2025-04-20,cloudy,15.0,3,0.0,0.0
2025-04-21,cloudy,18.0,3,0.0,0.0
2025-04-22,rainy,16.5,63,24.6,0.0
2025-04-23,cloudy,15.0,3,0.0,0.0
2025-04-24,cloudy,12.4,3,0.0,0.0
2025-04-25,clear,10.6,1,0.0,0.0
2025-04-26,clear,11.4,1,0.0,0.0
2025-04-27,cloudy,12.6,3,0.0,0.0
2025-04-28,cloudy,12.6,3,0.0,0.0
2025-04-29,clear,12.1,1,0.0,0.0
2025-04-30,cloudy,15.5,3,0.0,0.0
2025-05-01,rainy,13.2,63,21.3,0.0
