date,parking_usage,usage_time,source_rows,weather_code,precipitation_sum,snowfall_sum,weather_category,weather_label,weather_label_ko
2020-01-14,2,0,1,3,0.0,0.0,cloudy,Cloudy,흐림
2020-01-15,126,6141,2,1,0.0,0.0,clear,Clear,맑음
2020-01-16,1007,225979,3,3,0.0,0.0,cloudy,Cloudy,흐림
2020-01-17,2748,382672,5,3,0.0,0.0,cloudy,Cloudy,흐림
2020-01-18,4255,355440,5,3,0.0,0.0,cloudy,Cloudy,흐림
2020-01-19,3485,271251,5,71,0.2,0.07,precipitation,Precipitation,비/눈
2020-01-20,2800,352324,5,3,0.0,0.0,cloudy,Cloudy,흐림
2020-01-21,4864,672217,21,3,0.0,0.0,cloudy,Cloudy,흐림
2020-01-22,11845,2166270,21,3,0.0,0.0,cloudy,Cloudy,흐림
2020-01-23,12506,2543939,23,3,0.0,0.0,cloudy,Cloudy,흐림
2020-01-24,10854,648228,22,3,0.0,0.0,cloudy,Cloudy,흐림
2020-01-25,13098,446830,22,3,0.0,0.0,cloudy,Cloudy,흐림
2020-01-26,17089,675965,23,3,0.0,0.0,cloudy,Cloudy,흐림
2020-01-27,10079,1044522,23,53,3.2,0.0,precipitation,Precipitation,비/눈
2020-01-28,12303,2254958,23,51,0.8,0.0,precipitation,Precipitation,비/눈
2020-01-29,13060,2324798,23,3,0.0,0.0,cloudy,Cloudy,흐림
2020-01-30,13750,2393621,24,51,0.4,0.0,precipitation,Precipitation,비/눈
2020-01-31,13263,2494004,24,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-01,13181,1544373,24,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-02,13131,1445080,24,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-03,11875,2264574,24,2,0.0,0.0,cloudy,Cloudy,흐림
2020-02-04,9683,2083785,22,73,0.9,0.63,precipitation,Precipitation,비/눈
2020-02-05,11333,1997507,24,0,0.0,0.0,clear,Clear,맑음
2020-02-06,12215,2165990,24,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-07,13175,2529958,24,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-08,14132,1536072,24,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-09,15307,1518530,24,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-10,13810,2419234,24,2,0.0,0.0,cloudy,Cloudy,흐림
2020-02-11,15876,2489837,25,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-12,12512,2103641,25,63,9.5,0.0,precipitation,Precipitation,비/눈
2020-02-13,14446,2380876,24,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-14,17018,2604603,25,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-15,16860,1830509,25,53,3.4,0.0,precipitation,Precipitation,비/눈
2020-02-16,13634,1156556,25,75,9.1,3.01,precipitation,Precipitation,비/눈
2020-02-17,11373,1979091,25,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-18,11160,1959332,25,0,0.0,0.0,clear,Clear,맑음
2020-02-19,14651,2183300,25,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-20,12914,2059983,25,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-21,10954,2091915,23,55,3.9,0.0,precipitation,Precipitation,비/눈
2020-02-22,11610,1190295,22,71,2.3,0.07,precipitation,Precipitation,비/눈
2020-02-23,17508,1443240,21,0,0.0,0.0,clear,Clear,맑음
2020-02-24,12710,2379278,23,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-25,10857,2002139,22,63,27.5,0.0,precipitation,Precipitation,비/눈
2020-02-26,13932,2299851,22,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-27,17127,2556305,25,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-28,13698,2262314,25,61,5.8,0.0,precipitation,Precipitation,비/눈
2020-02-29,25785,2161518,23,3,0.0,0.0,cloudy,Cloudy,흐림
2020-03-01,18214,1461324,20,51,0.1,0.0,precipitation,Precipitation,비/눈
2020-03-02,18100,2793594,23,3,0.0,0.0,cloudy,Cloudy,흐림
2020-03-03,17609,2747166,23,3,0.0,0.0,cloudy,Cloudy,흐림
2020-03-04,15463,2496067,23,3,0.0,0.0,cloudy,Cloudy,흐림
