date,parking_usage,usage_time,source_rows,parking_lot_count,weather_code,precipitation_sum,snowfall_sum,weather_category,weather_label,weather_label_ko,year
2020-01-14,2,0,1,1,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-01-15,114,6073,1,1,1,0.0,0.0,clear,Clear,맑음,2020
2020-01-16,873,221484,1,1,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-01-17,1113,255747,1,1,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-01-18,1541,172802,1,1,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-01-19,1106,100467,1,1,71,0.2,0.07,precipitation,Precipitation,비/눈,2020
2020-01-20,1097,269161,1,1,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-01-21,1270,283587,5,5,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-01-22,3009,1043062,5,5,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-01-23,3091,814843,5,5,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-01-24,1805,99726,4,4,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-01-25,2158,83328,4,4,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-01-26,3016,113010,5,5,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-01-27,1862,186576,5,5,53,3.2,0.0,precipitation,Precipitation,비/눈,2020
2020-01-28,3381,1066913,5,5,51,0.8,0.0,precipitation,Precipitation,비/눈,2020
2020-01-29,3489,1099526,5,5,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-01-30,3387,1100270,5,5,51,0.4,0.0,precipitation,Precipitation,비/눈,2020
2020-01-31,3312,1041375,5,5,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-02-01,2389,266515,5,5,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-02-02,2946,303716,5,5,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-02-03,3291,1181885,5,5,2,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-02-04,3069,1105859,5,5,73,0.9,0.63,precipitation,Precipitation,비/눈,2020
2020-02-05,2992,979999,5,5,0,0.0,0.0,clear,Clear,맑음,2020
2020-02-06,3127,1032565,5,5,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-02-07,3229,1023300,5,5,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-02-08,2636,267784,5,5,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-02-09,3352,348714,5,5,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-02-10,3444,1107144,5,5,2,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-02-11,3772,1116358,5,5,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-02-12,2999,999420,5,5,63,9.5,0.0,precipitation,Precipitation,비/눈,2020
2020-02-13,3306,1084626,5,5,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-02-14,3991,1032924,5,5,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-02-15,2872,280982,5,5,53,3.4,0.0,precipitation,Precipitation,비/눈,2020
2020-02-16,2669,278114,5,5,75,9.1,3.01,precipitation,Precipitation,비/눈,2020
2020-02-17,2546,968413,5,5,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-02-18,3013,1015217,5,5,0,0.0,0.0,clear,Clear,맑음,2020
2020-02-19,3246,1081078,5,5,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-02-20,3304,1062231,5,5,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-02-21,2895,999335,5,5,55,3.9,0.0,precipitation,Precipitation,비/눈,2020
2020-02-22,2106,233268,5,5,71,2.3,0.07,precipitation,Precipitation,비/눈,2020
2020-02-23,3842,314750,5,5,0,0.0,0.0,clear,Clear,맑음,2020
2020-02-24,3698,1217077,5,5,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-02-25,3129,1082259,5,5,63,27.5,0.0,precipitation,Precipitation,비/눈,2020
2020-02-26,4057,1169450,5,5,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-02-27,4421,1197718,5,5,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-02-28,2764,869152,5,5,61,5.8,0.0,precipitation,Precipitation,비/눈,2020
2020-02-29,5041,406387,5,5,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-03-01,3452,265422,5,5,51,0.1,0.0,precipitation,Precipitation,비/눈,2020
2020-03-02,3995,1115914,5,5,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-03-03,4001,1118551,5,5,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-03-04,3432,1107711,5,5,3,0.0,0.0,cloudy,Cloudy,흐림,2020
2020-03-05,3818,1089369,5,5,0,0.0,0.0,clear,Clear,맑음,2020
2020-03-06,4124,1172643,5,5,3,0.0,0.0,cloudy,Cloudy,흐림,2020
