date,weather_code,precipitation_sum,snowfall_sum,weather_category,weather_label,weather_label_ko
2020-01-14,3,0.0,0.0,cloudy,Cloudy,흐림
2020-01-15,1,0.0,0.0,clear,Clear,맑음
2020-01-16,3,0.0,0.0,cloudy,Cloudy,흐림
2020-01-17,3,0.0,0.0,cloudy,Cloudy,흐림
2020-01-18,3,0.0,0.0,cloudy,Cloudy,흐림
2020-01-19,71,0.2,0.07,precipitation,Precipitation,비/눈
2020-01-20,3,0.0,0.0,cloudy,Cloudy,흐림
2020-01-21,3,0.0,0.0,cloudy,Cloudy,흐림
2020-01-22,3,0.0,0.0,cloudy,Cloudy,흐림
2020-01-23,3,0.0,0.0,cloudy,Cloudy,흐림
2020-01-24,3,0.0,0.0,cloudy,Cloudy,흐림
2020-01-25,3,0.0,0.0,cloudy,Cloudy,흐림
2020-01-26,3,0.0,0.0,cloudy,Cloudy,흐림
2020-01-27,53,3.2,0.0,precipitation,Precipitation,비/눈
2020-01-28,51,0.8,0.0,precipitation,Precipitation,비/눈
2020-01-29,3,0.0,0.0,cloudy,Cloudy,흐림
2020-01-30,51,0.4,0.0,precipitation,Precipitation,비/눈
2020-01-31,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-01,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-02,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-03,2,0.0,0.0,cloudy,Cloudy,흐림
2020-02-04,73,0.9,0.63,precipitation,Precipitation,비/눈
2020-02-05,0,0.0,0.0,clear,Clear,맑음
2020-02-06,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-07,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-08,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-09,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-10,2,0.0,0.0,cloudy,Cloudy,흐림
2020-02-11,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-12,63,9.5,0.0,precipitation,Precipitation,비/눈
2020-02-13,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-14,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-15,53,3.4,0.0,precipitation,Precipitation,비/눈
2020-02-16,75,9.1,3.01,precipitation,Precipitation,비/눈
2020-02-17,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-18,0,0.0,0.0,clear,Clear,맑음
2020-02-19,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-20,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-21,55,3.9,0.0,precipitation,Precipitation,비/눈
2020-02-22,71,2.3,0.07,precipitation,Precipitation,비/눈
2020-02-23,0,0.0,0.0,clear,Clear,맑음
2020-02-24,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-25,63,27.5,0.0,precipitation,Precipitation,비/눈
2020-02-26,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-27,3,0.0,0.0,cloudy,Cloudy,흐림
2020-02-28,61,5.8,0.0,precipitation,Precipitation,비/눈
2020-02-29,3,0.0,0.0,cloudy,Cloudy,흐림
2020-03-01,51,0.1,0.0,precipitation,Precipitation,비/눈
2020-03-02,3,0.0,0.0,cloudy,Cloudy,흐림
2020-03-03,3,0.0,0.0,cloudy,Cloudy,흐림
2020-03-04,3,0.0,0.0,cloudy,Cloudy,흐림
2020-03-05,0,0.0,0.0,clear,Clear,맑음
2020-03-06,3,0.0,0.0,cloudy,Cloudy,흐림
2020-03-07,3,0.0,0.0,cloudy,Cloudy,흐림
2020-03-08,3,0.0,0.0,cloudy,Cloudy,흐림
2020-03-09,51,0.4,0.0,precipitation,Precipitation,비/눈
2020-03-10,53,7.0,0.0,precipitation,Precipitation,비/눈
2020-03-11,0,0.0,0.0,clear,Clear,맑음
2020-03-12,3,0.0,0.0,cloudy,Cloudy,흐림
2020-03-13,51,0.1,0.0,precipitation,Precipitation,비/눈
