month,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
1,108505.0,145905.0,143406.0,141749.0,145449.0,136793.0,130336.0,135939.0,139576.0,144792.0,149136.0,154467.0,170510.0,145116.0,132894.0,125337.0,107873.0,81144.0
2,97465.0,125639.0,130905.0,131510.0,135371.0,134017.0,129173.0,131697.0,133031.0,138496.0,141092.0,145043.0,156651.0,142523.0,127695.0,122379.0,104724.0,77434.0
3,103087.0,134120.0,146279.0,142225.0,144084.0,137199.0,129558.0,131968.0,141380.0,148185.0,155758.0,157368.0,154190.0,148601.0,135946.0,126747.0,110190.0,81289.0
4,99058.0,138458.0,147642.0,143367.0,145035.0,140140.0,129847.0,133194.0,138945.0,144721.0,148558.0,153939.0,148573.0,139926.0,134586.0,129050.0,110208.0,83519.0
5,103548.0,140047.0,148640.0,145685.0,150283.0,145111.0,136990.0,139853.0,143982.0,149979.0,155533.0,158268.0,153474.0,133632.0,135020.0,131898.0,111897.0,84654.0
6,98071.0,131648.0,140849.0,138974.0,144669.0,139538.0,132035.0,134566.0,138328.0,143667.0,147443.0,151870.0,144914.0,123098.0,121182.0,124165.0,106022.0,78870.0
7,103384.0,141268.0,150247.0,143122.0,144140.0,139494.0,133890.0,135118.0,141438.0,145926.0,150186.0,153632.0,151931.0,128963.0,125431.0,124362.0,107372.0,80063.0
8,99780.0,135983.0,144932.0,142564.0,146458.0,143479.0,136552.0,140251.0,143301.0,146553.0,153554.0,155406.0,148784.0,133301.0,131473.0,126443.0,108409.0,79556.0
9,94867.0,126190.0,135645.0,134763.0,139337.0,136662.0,132217.0,134322.0,136912.0,143041.0,148214.0,148131.0,143252.0,138735.0,128748.0,123114.0,104242.0,76322.0
10,109538.0,137528.0,148062.0,144058.0,148714.0,139959.0,134191.0,137724.0,143100.0,148898.0,155570.0,156488.0,163376.0,147957.0,135005.0,129014.0,108358.0,81906.0
11,113748.0,138449.0,150256.0,139654.0,141326.0,136194.0,128585.0,133879.0,141528.0,147301.0,152405.0,157631.0,167662.0,147253.0,132339.0,126183.0,107632.0,79414.0
12,108038.0,138048.0,142319.0,138990.0,144354.0,139298.0,134784.0,139752.0,144263.0,152055.0,152846.0,157413.0,162591.0,141538.0,129813.0,126602.0,109995.0,81990.0
