일자,요일,지점명,지점번호,방향,구분,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
20240101,일,서강대교,C-06,유입,서강대교남단->서강대교북단,376.0,341.0,156.0,103.0,74.0,109.0,144.0,233.0,349.0,428.0,494.0,609.0,693.0,668.0,667.0,756.0,712.0,644.0,533.0,479.0,375.0,338.0,266.0,178.0
20240101,일,서강대교,C-06,유출,서강대교북단->서강대교남단,439.0,488.0,194.0,113.0,93.0,117.0,211.0,369.0,404.0,577.0,608.0,595.0,579.0,717.0,843.0,742.0,765.0,593.0,513.0,449.0,471.0,409.0,346.0,211.0
20240101,일,마포대교,C-07,유입,마포대교남단->마포대교북단,999.0,1102.0,532.0,492.0,346.0,567.0,712.0,901.0,1163.0,1295.0,1798.0,2241.0,2321.0,2223.0,2456.0,2499.0,2425.0,2170.0,1837.0,1772.0,1713.0,1433.0,1058.0,705.0
20240101,일,마포대교,C-07,유출,마포대교북단->마포대교남단,962.0,1130.0,447.0,288.0,199.0,343.0,459.0,823.0,812.0,1143.0,1488.0,2020.0,2123.0,2275.0,2074.0,2189.0,2106.0,2259.0,2003.0,1840.0,1631.0,1330.0,963.0,554.0
20240101,일,원효대교,C-08,유입,원효대교남단->원효대교북단,398.0,383.0,250.0,181.0,181.0,263.0,310.0,436.0,608.0,688.0,861.0,1056.0,1110.0,1100.0,1194.0,1227.0,1108.0,966.0,779.0,694.0,747.0,612.0,437.0,300.0
20240101,일,원효대교,C-08,유출,원효대교북단->원효대교남단,422.0,491.0,196.0,167.0,120.0,127.0,168.0,306.0,416.0,536.0,630.0,784.0,891.0,897.0,933.0,906.0,1062.0,975.0,753.0,676.0,640.0,544.0,411.0,304.0
20240101,일,한강대교,C-09,유입,한강대교남단->한강대교북단,925.0,1092.0,687.0,477.0,499.0,661.0,959.0,1062.0,1190.0,1442.0,1869.0,2035.0,2165.0,2095.0,2124.0,2067.0,1983.0,1870.0,1641.0,1520.0,1567.0,1294.0,1055.0,892.0
20240101,일,한강대교,C-09,유출,한강대교북단->한강대교남단,1529.0,1857.0,935.0,715.0,563.0,631.0,863.0,1054.0,988.0,1113.0,1329.0,1711.0,1899.0,1927.0,2049.0,2073.0,2230.0,2075.0,2291.0,2110.0,2238.0,2048.0,1656.0,1136.0
20240102,화,서강대교,C-06,유입,서강대교남단->서강대교북단,123.0,83.0,53.0,67.0,135.0,280.0,482.0,807.0,1025.0,1105.0,904.0,840.0,748.0,898.0,841.0,862.0,1030.0,1354.0,1914.0,1124.0,691.0,662.0,443.0,289.0
20240102,화,서강대교,C-06,유출,서강대교북단->서강대교남단,139.0,83.0,75.0,210.0,258.0,272.0,696.0,1844.0,2047.0,1289.0,1006.0,946.0,930.0,1134.0,1274.0,1236.0,1257.0,1197.0,985.0,736.0,684.0,661.0,625.0,381.0
20240102,화,마포대교,C-07,유입,마포대교남단->마포대교북단,493.0,290.0,178.0,201.0,453.0,1474.0,2807.0,3787.0,3882.0,3343.0,2674.0,2942.0,2544.0,2729.0,2671.0,2806.0,3052.0,3733.0,4174.0,2996.0,2528.0,2269.0,1799.0,1250.0
20240102,화,마포대교,C-07,유출,마포대교북단->마포대교남단,373.0,199.0,198.0,285.0,436.0,807.0,2118.0,4079.0,3633.0,2760.0,2269.0,2084.0,2086.0,2715.0,2909.0,2967.0,3006.0,3427.0,3208.0,2748.0,2381.0,1919.0,1682.0,1023.0
20240102,화,원효대교,C-08,유입,원효대교남단->원효대교북단,209.0,188.0,105.0,95.0,222.0,635.0,1231.0,2055.0,2261.0,1848.0,1510.0,1460.0,1254.0,1357.0,1377.0,1465.0,1446.0,1581.0,1805.0,1210.0,1018.0,904.0,766.0,635.0
20240102,화,원효대교,C-08,유출,원효대교북단->원효대교남단,197.0,193.0,100.0,87.0,108.0,278.0,602.0,1516.0,1687.0,1148.0,1070.0,1053.0,990.0,1226.0,1314.0,1426.0,1608.0,1715.0,1448.0,1192.0,851.0,747.0,617.0,450.0
20240102,화,한강대교,C-09,유입,한강대교남단->한강대교북단,732.0,432.0,291.0,256.0,560.0,1264.0,2364.0,2961.0,2598.0,2546.0,2307.0,2139.0,1856.0,1912.0,1800.0,1780.0,1826.0,1753.0,1727.0,1500.0,1516.0,1414.0,1322.0,1136.0
20240102,화,한강대교,C-09,유출,한강대교북단->한강대교남단,929.0,587.0,283.0,304.0,432.0,966.0,1659.0,1909.0,1951.0,1743.0,1862.0,1678.0,1692.0,1891.0,2185.0,2217.0,2787.0,2998.0,3571.0,2894.0,2351.0,2205.0,2106.0,1338.0
20240103,수,서강대교,C-06,유입,서강대교남단->서강대교북단,201.0,159.0,93.0,91.0,137.0,259.0,519.0,719.0,1025.0,1122.0,934.0,921.0,756.0,917.0,958.0,971.0,987.0,1488.0,1952.0,1245.0,890.0,636.0,473.0,323.0
