일자,traffic_total,target_total,weekday_num,요일
2023-01-01,131315.0,4854,6,일요일
2023-01-02,192896.0,3731,0,월요일
2023-01-03,204696.0,3669,1,화요일
2023-01-04,207371.0,3772,2,수요일
2023-01-05,208660.0,3481,3,목요일
2023-01-06,212207.0,3461,4,금요일
2023-01-07,166306.0,2017,5,토요일
2023-01-08,141791.0,3873,6,일요일
2023-01-09,202363.0,3711,0,월요일
2023-01-10,214298.0,4039,1,화요일
2023-01-11,215550.0,3942,2,수요일
2023-01-12,218554.0,3834,3,목요일
2023-01-13,214486.0,3367,4,금요일
2023-01-14,173013.0,2356,5,토요일
2023-01-15,137690.0,2718,6,일요일
2023-01-16,204419.0,3542,0,월요일
2023-01-17,217496.0,4001,1,화요일
2023-01-18,224851.0,3740,2,수요일
2023-01-19,224975.0,3563,3,목요일
2023-01-20,211248.0,2672,4,금요일
2023-01-21,135369.0,776,5,토요일
2023-01-22,153764.0,1501,6,일요일
2023-01-23,125032.0,1108,0,월요일
2023-01-24,110175.0,1353,1,화요일
2023-01-25,200736.0,3319,2,수요일
2023-01-26,164140.0,2434,3,목요일
2023-01-27,211969.0,3672,4,금요일
2023-01-28,171736.0,2556,5,토요일
2023-01-29,140191.0,3709,6,일요일
2023-01-30,205486.0,3441,0,월요일
2023-01-31,210524.0,3119,1,화요일
2023-02-01,207543.0,3352,2,수요일
2023-02-02,212961.0,3547,3,목요일
2023-02-03,218548.0,3759,4,금요일
2023-02-04,183539.0,3397,5,토요일
2023-02-05,146022.0,4302,6,일요일
2023-02-06,199014.0,2010,0,월요일
2023-02-07,208005.0,3777,1,화요일
2023-02-08,212323.0,3848,2,수요일
2023-02-09,214292.0,4079,3,목요일
2023-02-10,215638.0,4220,4,금요일
2023-02-11,181009.0,3925,5,토요일
2023-02-12,145552.0,4900,6,일요일
2023-02-13,201348.0,3988,0,월요일
2023-02-14,215135.0,3954,1,화요일
2023-02-15,215635.0,4042,2,수요일
2023-02-16,215535.0,3814,3,목요일
2023-02-17,218536.0,4182,4,금요일
2023-02-18,178975.0,3662,5,토요일
2023-02-19,153118.0,4834,6,일요일
2023-02-20,205316.0,3807,0,월요일
2023-02-21,215453.0,3856,1,화요일
2023-02-22,216118.0,3969,2,수요일
2023-02-23,220122.0,4025,3,목요일
2023-02-24,225453.0,4467,4,금요일
2023-02-25,187045.0,4070,5,토요일
2023-02-26,153675.0,6484,6,일요일
2023-02-27,210401.0,4413,0,월요일
2023-02-28,219227.0,4561,1,화요일
2023-03-01,146265.0,4114,2,수요일
2023-03-02,209600.0,3774,3,목요일
2023-03-03,214609.0,4376,4,금요일
2023-03-04,175838.0,5555,5,토요일
2023-03-05,146681.0,7074,6,일요일
2023-03-06,202614.0,4687,0,월요일
2023-03-07,210285.0,4865,1,화요일
2023-03-08,211374.0,4387,2,수요일
2023-03-09,211090.0,3946,3,목요일
2023-03-10,217529.0,5844,4,금요일
2023-03-11,183291.0,8284,5,토요일
2023-03-12,140761.0,4204,6,일요일
