year,weather_category,days,average_usage,peak_usage,weather_label,weather_label_ko
2020,clear,28,4219.214285714285,8474,Clear,맑음
2020,cloudy,171,4713.233918128655,10865,Cloudy,흐림
2020,precipitation,149,4550.4295302013425,9943,Precipitation,비/눈
2021,clear,23,4717.95652173913,8819,Clear,맑음
2021,cloudy,159,5642.597484276729,11476,Cloudy,흐림
2021,precipitation,183,4748.03825136612,9871,Precipitation,비/눈
2022,clear,24,5422.833333333333,11985,Clear,맑음
2022,cloudy,177,5669.237288135593,15521,Cloudy,흐림
2022,precipitation,162,5061.944444444444,12421,Precipitation,비/눈
2023,clear,31,4622.5161290322585,10470,Clear,맑음
2023,cloudy,164,5459.445121951219,13036,Cloudy,흐림
2023,precipitation,168,4715.916666666667,10228,Precipitation,비/눈
2024,clear,29,4595.137931034483,7043,Clear,맑음
2024,cloudy,150,5727.76,13377,Cloudy,흐림
2024,precipitation,186,5275.376344086021,11857,Precipitation,비/눈
2025,clear,35,4987.571428571428,10979,Clear,맑음
2025,cloudy,153,5389.3725490196075,12198,Cloudy,흐림
2025,precipitation,177,5153.587570621469,10116,Precipitation,비/눈
2026,clear,14,3698.9285714285716,5719,Clear,맑음
2026,cloudy,52,4454.75,9740,Cloudy,흐림
2026,precipitation,25,4022.64,8547,Precipitation,비/눈
